Name,Primary Genre,Synopsis,Age Rating,Rating Score,Theatrical Release Year,Director ,Cast,keywords4,,
Toofan,Action Thriller,"Ghalib Bin Goni, a born killer, massacres his way to power and becomes Toofan, the biggest mafia don of Bangladesh, in this global Bengali blockbuster.",U/A 16+,4,2024,Raihan Rafi,"Shakib Khan, Mimi Chakraborty, Chanchal Chowdhury, Masuma Rahman Nabila, Misa Sawdagar","ghalib, bin, goni, born, killer, massacres, way, power, becomes, toofan, biggest, mafia, don, bangladesh, global, bengali, blockbuster",,
Pradhan,Social Drama,"Honest cop Deepak Pradhan encounters widespread corruption in the hilly town of Dharmapur, led by the local administrative head, and plunges into a battle to uphold his integrity and restore the dignity of the locals.",U/A 13+,3,2023,Avijit Sen,"Dev, Paran Bandopadhyay, Mamata Shankar, Anirban Chakrabarti, Soham Chakraborty, Soumitrisha Kundu","honest, cop, deepak, pradhan, encounters, widespread, corruption, hilly, town, dharmapur, led, local, administrative, head, plunges, battle, uphold, integrity, restore, dignity, locals",,
Dharmajuddha,Political Drama,"A riot erupts in the small town of Ismailpur, compelling four victims to take refuge in an elderly woman's home. As tensions flare among them, the night becomes an unforgettable and fateful ordeal.",U/A 13+,3,2022,Raj Chakrabarty," Swatilekha Sengupta, Ritwick Chakraborty, Subhashree Ganguly, Soham Chakraborty, Parno Mittra, Koushik Roy, Saptarshi Maulik","riot, erupts, small, town, ismailpur, compelling, four, victims, take, refuge, elderly, woman, s, home, tensions, flare, among, night, becomes, unforgettable, fateful, ordeal",,
Pariah,Action Thriller,A common man turns into a relentless vigilante when his puppy goes missing in the midst of society's cruel apathy for voiceless animals.,A 18+,5,2024,Tathagata Mukherjee,"Vikram Chatterjee, Angana Roy, Sreelekha Mitra, Ambarish Bhattacharya, Soumya Mukherjee","common, man, turns, relentless, vigilante, when, puppy, goes, missing, midst, society, s, cruel, apathy, voiceless, animals",,
Rainbow Jelly,Fantasy Drama,"Ghoton, an autistic 12-year-old orphaned boy mistreated by his uncle, feels hopeful when a mysterious aunt promises to change his life with a magical recipe.",U,1,2018,Soukarya Ghosal,"Mahabrata Basu, Sreelekha Mitra, Kaushik Sen, Shantilal Mukherjee, Anumegha Banerjee","ghoton, autistic, 12, year, old, orphaned, boy, mistreated, uncle, feels, hopeful, when, mysterious, aunt, promises, change, life, magical, recipe",,
Mayurakshi,Drama,"A reunion between a retired professor, suffering from neurological problems, and his NRI son, who is going through an unsettling phase, changes their lives when several closed chapters are reopened.",U,1,2017,Atanu Ghosh,"Prosenjit Chatterjee, Soumitra Chatterjee, Gargi Roychowdhury, Sudipta Chakraborty, Indrani Halder","reunion, retired, professor, suffering, neurological, problems, nri, son, who, going, unsettling, phase, changes, lives, when, several, closed, chapters, reopened",,
Chaalchitra Ekhon,"Drama, Biography","A tribute to auteur Mrinal Sen in his birth centenary year, the film traces Anjan Dutt's captivating journey with the celluloid maestro in 1981, marking the beginning of a unique mentor-protégé relationship.",U/A 13+,3,2024,Anjan Dutt,"Anjan Dutt, Sawon Chakraborty, Bidipta Chakraborty, Suprobhat Das, Subhasish Mukherjee","tribute, auteur, mrinal, sen, birth, centenary, year, film, traces, anjan, dutt, s, captivating, journey, celluloid, maestro, 1981, marking, beginning, unique, mentor, protégé, relationship",,
Shri Swapankumarer Badami Hyenar Kobole,Pulp Thriller,"When Kolkata is in danger as Badami Hyena looms threat over the city, Dipak Chatterjee, the long-forgotten detective created by pulp-fiction writer Shri Swapankumar, comes out of his web of hurt pride to save the city. But Swapankumar soon charts a crazy narrative that complicates Dipak's fate!",U/A 13+,3,2024,Debaloy Bhattacharya,"Abir Chatterjee, Paran Bandopadhyay, Shruti Das, Gautam Halder, Pratik Dutta, Loknath Dey","when, kolkata, danger, badami, hyena, looms, threat, city, dipak, chatterjee, long, forgotten, detective, created, pulp, fiction, writer, shri, swapankumar, comes, web, hurt, pride, save, city, swapankumar, soon, charts, crazy, narrative, complicates, dipak, s, fate",,
Bogla Mama,Comedy,"Bogla Mama, a bumbling middle-aged theatre fanatic, is loved by his entire town for his amusing antics. A comedy of errors ensues when a local don commissions Bogla and his band of boys to stage a play in a theatre competition in this hilarious tale set in 1980s small town Bengal. ",U,1,2023,Dhrubo Banerjee,"Kharaj Mukherjee, Riddhi Sen, Rajatava Dutta, Aparajita Adhya, Ditipriya Roy","bogla, mama, bumbling, middle, aged, theatre, fanatic, loved, entire, town, amusing, antics, comedy, errors, ensues, when, local, don, commissions, bogla, band, boys, stage, play, theatre, competition, hilarious, tale, set, 1980s, small, town, bengal",,
Raktabeej,Social Thriller,"Inspired by a true event, when officers Pankaj Sinha and Sanjukta Mitra investigate an explosion at Burdwan's Khoyragarh, it spirals into a terror angle and a possible assassination attempt on the President of India visiting his ancestral home nearby.",U/A 13+,3,2023,"Nandita Roy, Shiboprosad Mukherjee","Victor Bannerjee, Abir Chatterjee, Mimi Chakraborty, Anashua Majumdar, Satyam Bhattacharya, Devlina Kumar","inspired, true, event, when, officers, pankaj, sinha, sanjukta, mitra, investigate, explosion, burdwan, s, khoyragarh, spirals, terror, angle, possible, assassination, attempt, president, india, visiting, ancestral, home, nearby",,
